"","sum","sd","subj","upper","lower"
"X1",-0.703390381950408,0.0156213461895779,1,-0.68776903576083,-0.719011728139986
"X2",-0.199863228008352,0.027619554523388,2,-0.172243673484964,-0.22748278253174
"X3",-0.329471577552237,0.0432144058960011,3,-0.286257171656236,-0.372685983448238
"X4",-0.810369605469232,0.0708187168205248,4,-0.739550888648707,-0.881188322289757
"X5",-0.597067041497586,0.0975364222894416,5,-0.499530619208145,-0.694603463787028
"X6",-0.519102716621218,0.0334012553575165,6,-0.485701461263701,-0.552503971978734
"X7",-0.121664503744146,0.0766966345036999,7,-0.044967869240446,-0.198361138247846
"X8",-0.0516180027654265,0.00934844292599985,8,-0.0422695598394267,-0.0609664456914264
"X9",-0.441110010775922,0.0478580759912979,9,-0.393251934784624,-0.48896808676722
"X10",-1.12649625747452,0.313923200960836,10,-0.812573056513686,-1.44041945843536
"X11",-0.481182651794074,0.0745973653333744,11,-0.406585286460699,-0.555780017127448
"X12",-0.553391255691622,0.099791247480033,12,-0.453600008211589,-0.653182503171655
"X13",-0.624355889382511,0.168573968388613,13,-0.455781920993898,-0.792929857771123
"X14",-0.961911077972723,0.183422320863651,14,-0.778488757109072,-1.14533339883637
"X15",-0.73449183097392,0.188599789495034,15,-0.545892041478886,-0.923091620468955
"X16",-0.705894734068467,0.143846840307877,16,-0.56204789376059,-0.849741574376344
"X17",-0.327069830145342,0.0569337060881063,17,-0.270136124057236,-0.384003536233449
"X18",-0.247650511229706,0.0510761383295359,18,-0.19657437290017,-0.298726649559241
"X19",-0.711705480355408,0.0317774320323334,19,-0.679928048323075,-0.743482912387742
"X20",-0.432219446473045,0.0602468687350139,20,-0.371972577738031,-0.492466315208059
"X21",-0.33435408108917,0.0507908663242927,21,-0.283563214764877,-0.385144947413462
"X22",-0.73275131115481,0.0511212981057502,22,-0.681630013049059,-0.78387260926056
"X23",-0.29864669574184,0.105428475284464,23,-0.193218220457376,-0.404075171026304
"X24",-0.350430122152878,0.0399713817275299,24,-0.310458740425348,-0.390401503880408
"X25",-0.730039071534228,0.0345234310117016,25,-0.695515640522526,-0.76456250254593
"X26",-0.0534283520056833,0.0358848251680036,26,-0.0175435268376797,-0.0893131771736869
"X27",-0.720285872010441,0.225068892161097,27,-0.495216979849344,-0.945354764171538
"X28",-0.5887597995331,0.0473950282797327,28,-0.541364771253367,-0.636154827812833
"X29",-0.633245902909731,0.0681059674723189,29,-0.565139935437413,-0.70135187038205
"X30",-1.14251988522787,0.261041323767022,30,-0.881478561460847,-1.40356120899489
"X31",-0.564964799785582,0.144716276403295,31,-0.420248523382287,-0.709681076188877
"X32",-0.724525134546109,0.0660950403554956,32,-0.658430094190613,-0.790620174901604
"X33",-0.699881969821082,0.110787020948574,33,-0.589094948872508,-0.810668990769656
