"","x"
"1",-0.945374721508465
"2",4.90204247960988
"3",1.17075870436403
"4",5.20003506453727
"5",-1.44329421180611
"6",0.134708993020287
"7",1.43478011891457
"8",1.64634274879922
"9",0.932675541346039
"10",1.83528080132634
"11",-0.282853338171022
"12",1.6868645798121
"13",0.649790701676004
"14",0.169198942647159
"15",-2.27841162457177
"16",1.11813578214477
"17",-0.567195709888373
"18",-1.48326963152147
"19",-0.105486259694275
"20",2.44040833083231
"21",-2.28907979334288
"22",1.77742538700193
"23",1.35366390642792
"24",-1.68808937957195
"25",-0.341910575815295
"26",1.24144213638323
"27",-2.02841973516164
"28",1.15455743736254
"29",0.836394683995105
"30",0.0309671626517273
"31",-1.41382883941056
"32",-8.52110560701209
"33",-5.27306331077101
"34",-1.31623698945777
"35",-2.17375990289934
"36",1.61701476739091
"37",-3.56031658256385
"38",-0.308855086260224
"39",-1.12230647453036
"40",-0.233720376168512
"41",0.63204272341139
"42",0.515878308721623
"43",-4.48673874726833
"44",0.688423701587171
"45",-1.09602970004648
"46",6.00753069526553
"47",3.27586953583078
"48",-1.3159121119679
"49",1.16173517654456
"50",-0.469308690207377
"51",-6.09354931444158
"52",3.02630416506561
"53",1.84078151190317
"54",5.25914717826539
"55",1.93323514250093
"56",3.73718264578269
"57",-1.77166135991957
"58",-0.959410893828232
"59",2.27571855349403
"60",2.73747396531466
"61",-0.768785069285428
"62",-0.13261702621901
"63",1.48134492548581
"64",-2.40976599686866
"65",0.223262424978334
"66",0.0399887326036955
"67",3.53666604022682
"68",4.56102273863844
"69",2.36842093472846
"70",0.768576204443696
"71",2.16682062009617
"72",-1.17043030359408
"73",0.241039488993427
"74",1.2128355844514
"75",1.66423505637979
"76",-1.62829462721435
"77",-1.84600160659648
"78",0.316860434596179
"79",2.03510977901575
"80",4.05354686277288
"81",-2.6002090696334
"82",2.66626182119884
"83",-0.713709135097568
"84",-1.70339564353064
"85",3.75351410648996
"86",1.286406477696
"87",-1.93844956449972
"88",0.143670533277356
"89",0.441082182770754
"90",-0.478342990176321
"91",-0.139128407716121
"92",-9.0487382120416
"93",-1.53617409864318
"94",2.07543354495723
"95",-2.71028098240425
"96",-4.31282000117141
"97",-6.3162028293942
"98",-1.49217510437102
"99",3.53642371706082
"100",0.637724816792155
"101",-0.445842370817542
"102",0.502378967310223
"103",3.10959707994914
"104",0.699509915613646
"105",4.42793680807101
"106",-3.0327661747814
"107",-0.950270997850543
"108",-5.10884864678861
"109",-2.5312714704307
"110",2.91000366732989
"111",-4.71794577539591
"112",1.40815783442419
"113",2.20252073563108
"114",1.66991386469268
"115",-5.33685226025072
"116",1.66001952952739
"117",1.44635156487384
"118",1.23105072576505
"119",1.01478554666277
"120",0.642912804769593
"121",-0.860368475743048
"122",-3.66302927160031
"123",-2.71185484905943
"124",-3.5246037549464
"125",1.03907557686163
"126",0.726562209558855
"127",-8.97166883293098
"128",-3.86640197242882
"129",-0.734428872411177
"130",0.337249452148647
"131",-1.45218530810772
"132",-8.73792954779732
"133",-0.202678717837087
"134",0.960374502461381
"135",-0.230938204633888
"136",-2.83729309683355
"137",1.43116818659388
"138",0.457266528953031
"139",2.49609967275088
"140",0.00572460371575128
"141",-8.96237540025337
"142",0.276744988155712
"143",0.165616123622203
"144",0.398933777204336
"145",2.65871018687103
"146",0.430367220520654
"147",-4.60844988177956
"148",2.87393614023922
"149",-3.31057151720435
"150",-0.17682747502681
"151",-1.63222225699322
"152",3.69889604990527
"153",-1.80073032990549
"154",2.06999240323326
"155",0.148041051406487
"156",-3.95117027175982
"157",-0.729002636808541
"158",3.08683202940421
"159",1.69978509758069
"160",-0.237963615691442
"161",-0.769410538863864
"162",-1.45104186266147
"163",3.13189069011534
"164",4.5868221735251
"165",0.0281624663805339
"166",-5.18059960339984
"167",2.61350309291742
"168",4.75309813211503
"169",-0.205350326258658
"170",2.1935823789989
"171",-1.23573982408141
"172",0.965258135116028
"173",-0.0494165276298561
"174",-0.703326174615938
"175",-0.830283617367934
"176",0.112221317219422
"177",0.327026983692687
"178",0.686143454967087
"179",2.72425895115334
"180",-0.2665693811289
"181",-2.24753349984776
"182",1.74594550482832
"183",1.14784030704523
"184",0.662419352671482
"185",1.12833382368259
"186",1.85565335138664
"187",-2.69779375708648
"188",2.01336014610973
"189",-0.81801205762481
"190",-4.77601721784123
"191",3.88748045697285
"192",0.650136610502534
"193",2.07576835702096
"194",-0.652735494577661
"195",1.67285938409927
"196",3.92635647981473
"197",-3.84077295671722
"198",0.442209083252717
"199",2.38730375977567
"200",0.896489388539954
"201",0.0750411594762531
"202",-9.1030455773208
"203",-0.752821925263147
"204",-1.18889804886108
"205",1.59261722139496
