"","sum","sd","subj","upper","lower"
"X1",-0.697876705082031,0.011755720933451,1,-0.68612098414858,-0.709632426015482
"X2",-0.224332062920035,0.0351925098607182,2,-0.189139553059317,-0.259524572780753
"X3",-0.388790412075308,0.0702395228440343,3,-0.318550889231274,-0.459029934919342
"X4",-0.759312043470587,0.0450272638754205,4,-0.714284779595166,-0.804339307346007
"X5",-0.43385864564737,0.127528395512992,5,-0.306330250134379,-0.561387041160362
"X6",-0.644142255829623,0.101926275937519,6,-0.542215979892104,-0.746068531767142
"X7",-0.255673385241997,0.171287605981059,7,-0.0843857792609375,-0.426960991223056
"X8",-0.0585948318784516,0.0155188169937796,8,-0.043076014884672,-0.0741136488722312
"X9",-0.509175905603588,0.0699645713652474,9,-0.43921133423834,-0.579140476968835
"X10",-1.068964880809,0.2888487243481,10,-0.780116156460896,-1.35781360515709
"X11",-0.446620399640873,0.0426013141570255,11,-0.404019085483847,-0.489221713797898
"X12",-0.531415222169438,0.0709572880882906,12,-0.460457934081147,-0.602372510257729
"X13",-0.505218175525033,0.0583777513834265,13,-0.446840424141607,-0.56359592690846
"X14",-0.652006592202434,0.0900159182841872,14,-0.561990673918246,-0.742022510486621
"X15",-0.488635141307016,0.0873954348546919,15,-0.401239706452324,-0.576030576161707
"X16",-0.519539624571652,0.118056851250177,16,-0.401482773321475,-0.637596475821829
"X17",-0.327756785612097,0.0560859691407149,17,-0.271670816471382,-0.383842754752812
"X18",-0.353605390269614,0.108159373672244,18,-0.24544601659737,-0.461764763941858
"X19",-0.707465928350936,0.0399001240409349,19,-0.667565804310001,-0.747366052391871
"X20",-0.444436282473193,0.057206097959854,20,-0.387230184513339,-0.501642380433047
"X21",-0.351059761519751,0.048527061035031,21,-0.30253270048472,-0.399586822554782
"X22",-0.681136049910414,0.0410453454110268,22,-0.640090704499387,-0.722181395321441
"X23",-0.317998645149596,0.172017278337865,23,-0.145981366811731,-0.490015923487461
"X24",-0.346406563694713,0.0379818760489241,24,-0.308424687645789,-0.384388439743637
"X25",-0.690959050118229,0.0191893766008544,25,-0.671769673517375,-0.710148426719084
"X26",-0.127107607931702,0.042938315678362,26,-0.0841692922533404,-0.170045923610064
"X27",-0.195422098405041,0.0526131864269781,27,-0.142808911978063,-0.248035284832019
"X28",-0.619374401599441,0.0495462295855161,28,-0.569828172013925,-0.668920631184957
"X29",-0.573957030306876,0.0533404603550652,29,-0.520616569951811,-0.627297490661941
"X30",-0.851615304665274,0.201630567006506,30,-0.649984737658768,-1.05324587167178
"X31",-0.218770119094186,0.0979184270445998,31,-0.120851692049586,-0.316688546138786
"X32",-0.696231744617329,0.0311922137073799,32,-0.665039530909949,-0.727423958324709
"X33",-0.615308976819229,0.0818642760529057,33,-0.533444700766324,-0.697173252872135
"X34",-0.161890445206161,0.0257484975436341,34,-0.136141947662527,-0.187638942749795
"X35",-0.686789482777649,0.0353086751221257,35,-0.651480807655523,-0.722098157899775
"X36",-0.66151181944431,0.021181282768056,36,-0.640330536676254,-0.682693102212366
"X37",-0.744315754521042,0.0835234772436094,37,-0.660792277277433,-0.827839231764652
"X38",-0.621490275736213,0.0222549443113592,38,-0.599235331424853,-0.643745220047572
"X39",-0.345870109146498,0.0466778182480918,39,-0.299192290898406,-0.39254792739459
