"","sum","sd","subj","upper","lower"
"X1",-0.722283047474412,0.00132869036411646,1,-0.720954357110295,-0.723611737838528
"X2",-0.383563080749611,0.00675903411259338,2,-0.376804046637017,-0.390322114862204
"X3",-0.456873400612322,0.00528143475121778,3,-0.451591965861104,-0.462154835363539
"X4",-0.715238515614255,0.00102092386662876,4,-0.714217591747626,-0.716259439480884
"X5",-0.657387093969894,0.0123249903286942,5,-0.6450621036412,-0.669712084298588
"X6",-0.546150853285318,0.00328977414360869,6,-0.542861079141709,-0.549440627428927
"X7",-0.244042532490714,0.00743531695551836,7,-0.236607215535196,-0.251477849446233
"X8",-0.237768755189004,0.00642589633192566,8,-0.231342858857078,-0.24419465152093
"X9",-0.620377468614784,0.0058565823000731,9,-0.614520886314711,-0.626234050914857
"X10",-0.988241604263386,0.0169398908905126,10,-0.971301713372874,-1.0051814951539
"X11",-0.639565294904431,0.0065549765277801,11,-0.633010318376651,-0.646120271432211
"X12",-0.533347629676902,0.00136480898571967,12,-0.531982820691183,-0.534712438662622
"X13",-0.544377145836296,0.0055965985321413,13,-0.538780547304155,-0.549973744368437
"X14",-0.558702746421664,0.00340320176167155,14,-0.555299544659992,-0.562105948183335
"X15",-0.465068277602591,0.00541629959746235,15,-0.459651978005129,-0.470484577200054
"X16",-0.438954372941788,0.00357696862758221,16,-0.435377404314206,-0.44253134156937
"X17",-0.391643308829073,0.00648987871110027,17,-0.385153430117973,-0.398133187540174
"X18",-0.405286054663575,0.00586558414631568,18,-0.399420470517259,-0.41115163880989
"X19",-0.696158808015201,0.00204952878425919,19,-0.694109279230942,-0.698208336799461
"X20",-0.436853857975022,0.00554384939723016,20,-0.431310008577792,-0.442397707372252
"X21",-0.351526246288805,0.00362016863657971,21,-0.347906077652225,-0.355146414925384
"X22",-0.727110568410599,0.00349134830490021,22,-0.723619220105699,-0.730601916715499
"X23",-0.253034005473337,0.00745112339729545,23,-0.245582882076042,-0.260485128870633
"X24",-0.668639432226832,0.00234841489337472,24,-0.666291017333458,-0.670987847120207
"X25",-0.714678924709424,0.00122252192150934,25,-0.713456402787915,-0.715901446630933
"X26",-0.275298298368372,0.00804700890141632,26,-0.267251289466955,-0.283345307269788
"X27",-0.31411109074826,0.00652477718277915,27,-0.307586313565481,-0.32063586793104
"X28",-0.706602514975776,0.00209045390188499,28,-0.704512061073891,-0.708692968877661
"X29",-0.66111256628197,0.00180846208565879,29,-0.659304104196311,-0.662921028367629
"X30",-0.778701737329063,0.00729312320724917,30,-0.771408614121814,-0.785994860536312
"X31",-0.265327706253121,0.00683726863577933,31,-0.258490437617341,-0.2721649748889
"X32",-0.702673337211286,0.00229533402867302,32,-0.700378003182613,-0.704968671239959
"X33",-0.654329824494751,0.00204667174794306,33,-0.652283152746808,-0.656376496242694
"X34",-0.313447101785673,0.00605038422733219,34,-0.307396717558341,-0.319497486013005
"X35",-0.632353574102824,0.00179706904137374,35,-0.63055650506145,-0.634150643144197
"X36",-0.691335809006461,0.00124832896545544,36,-0.690087480041005,-0.692584137971916
"X37",-0.895379498207858,0.012995973279783,37,-0.882383524928075,-0.908375471487641
"X38",-0.709435859451303,0.00118110323468996,38,-0.708254756216613,-0.710616962685993
"X39",-0.43416877243161,0.00551179926167507,39,-0.428656973169935,-0.439680571693285
"X40",-0.707802202833137,0.00504789550391089,40,-0.702754307329226,-0.712850098337048
"X41",-0.518932804847746,0.00217644940028225,41,-0.516756355447464,-0.521109254248028
"X42",-0.260269505950002,0.00779609160194032,42,-0.252473414348061,-0.268065597551942
