"","sum","sd","subj","upper","lower"
"X1",-0.701808158428918,0.0153817197989151,1,-0.686426438630002,-0.717189878227833
"X2",-0.219605393752058,0.0343740415913702,2,-0.185231352160688,-0.253979435343428
"X3",-0.358780927214025,0.0624942425641506,3,-0.296286684649874,-0.421275169778176
"X4",-0.805693062925581,0.0665934995452901,4,-0.739099563380291,-0.872286562470871
"X5",-0.411717235522676,0.123914548560989,5,-0.287802686961687,-0.535631784083665
"X6",-0.608781915208762,0.108932596100324,6,-0.499849319108438,-0.717714511309085
"X7",-0.1905741311413,0.146615411616282,7,-0.0439587195250182,-0.337189542757582
"X8",-0.05372928321565,0.012025403560407,8,-0.0417038796552431,-0.065754686776057
"X9",-0.542854812752164,0.10818930429157,9,-0.434665508460594,-0.651044117043735
"X10",-1.23615183999397,0.354283807209154,10,-0.881868032784814,-1.59043564720312
"X11",-0.463620727346213,0.0637930047652905,11,-0.399827722580922,-0.527413732111503
"X12",-0.505685303614182,0.0566319754194971,12,-0.449053328194685,-0.562317279033679
"X13",-0.552707224613089,0.120147402647587,13,-0.432559821965502,-0.672854627260677
"X14",-0.882957915128101,0.18402622660758,14,-0.698931688520521,-1.06698414173568
"X15",-0.604686573362395,0.169626022703115,15,-0.43506055065928,-0.774312596065511
"X16",-0.620150706788095,0.17383259961848,16,-0.446318107169615,-0.793983306406575
"X17",-0.31830253546419,0.0611391193624418,17,-0.257163416101748,-0.379441654826632
"X18",-0.315223340124039,0.0946030178412646,18,-0.220620322282775,-0.409826357965304
"X19",-0.708241208996393,0.0336612966012593,19,-0.674579912395134,-0.741902505597652
"X20",-0.435811012072404,0.0460692899493947,20,-0.389741722123009,-0.481880302021799
"X21",-0.340064256205341,0.0476323327417988,21,-0.292431923463542,-0.387696588947139
"X22",-0.718392683509383,0.0454000903979445,22,-0.672992593111439,-0.763792773907328
"X23",-0.360692162398618,0.215811370773688,23,-0.14488079162493,-0.576503533172306
"X24",-0.360996755936312,0.0426074079292801,24,-0.318389348007031,-0.403604163865592
"X25",-0.711600601801054,0.0287299033203562,25,-0.682870698480698,-0.74033050512141
"X26",-0.106111563948426,0.04600716748377,26,-0.0601043964646559,-0.152118731432196
"X27",-0.243006653749377,0.117486809834286,27,-0.125519843915091,-0.360493463583663
"X28",-0.623890655823544,0.0409531811502351,28,-0.582937474673308,-0.664843836973779
"X29",-0.561784091176259,0.0464876465168183,29,-0.51529644465944,-0.608271737693077
"X30",-0.999070506293752,0.264193700308574,30,-0.734876805985178,-1.26326420660233
"X31",-0.421654227261548,0.226160269959081,31,-0.195493957302467,-0.64781449722063
"X32",-0.7131810214756,0.0567046030444324,32,-0.656476418431167,-0.769885624520032
"X33",-0.605765799547086,0.0851921678407612,33,-0.520573631706325,-0.690957967387847
"X34",-0.14671723519194,0.0230729835962689,34,-0.123644251595671,-0.169790218788208
"X35",-0.692761726490805,0.045683196732789,35,-0.647078529758016,-0.738444923223594
"X36",-0.665826600254789,0.0242272689680986,36,-0.64159933128669,-0.690053869222887
"X37",-0.76373730230712,0.104523396843121,37,-0.659213905463999,-0.868260699150242
"X38",-0.625635246530888,0.0262823550820853,38,-0.599352891448802,-0.651917601612973
"X39",-0.34303109560358,0.0555833155627555,39,-0.287447780040825,-0.398614411166336
"X40",-0.905796858417382,0.102583306720601,40,-0.803213551696781,-1.00838016513798
