"name","game","prob",,"c","r","N",
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,

"name","game","prob",,"c","r","N",
"13785_1381492448550.csv",1,0.8,0.6,1,1,100,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,0,,
,2,0.4,0.2,2,1,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,1,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,1,,
,2,0.4,0.2,2,1,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,1,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,1,0,,
,4,0.6,0.8,1,0,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,1,1,,
,4,0.6,0.8,1,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,1,0,,
,4,0.6,0.8,1,0,,
,4,0.6,0.8,1,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,

"name","game","prob",,"c","r","N",
"13883_1381550792189.csv",1,0.2,0.4,1,0,100,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,1,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,1,1,,
,2,0.6,0.8,1,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,1,1,,
,3,0.8,0.6,1,1,,
,3,0.8,0.6,1,1,,
,3,0.8,0.6,1,0,,
,3,0.8,0.6,1,0,,
,3,0.8,0.6,1,0,,
,3,0.8,0.6,1,1,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,0,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,1,,
,3,0.8,0.6,2,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,2,0,,

"name","game","prob",,"c","r","N",
"14903_1381568813108.csv",1,0.2,0.4,2,0,100,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,1,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,1,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,1,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,2,0.4,0.2,2,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,1,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,1,1,,

"name","game","prob",,"c","r","N",
"15279_1381568828044.csv",1,0.4,0.2,1,0,100,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,0,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,1,0,,
,4,0.2,0.4,1,0,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,1,0,,
,4,0.2,0.4,1,0,,
,4,0.2,0.4,1,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,1,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,2,0,,
,4,0.2,0.4,1,0,,
,4,0.2,0.4,1,1,,

"name","game","prob",,"c","r","N",
"15935_1381566992411.csv",1,0.2,0.4,2,1,100,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,1,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,1,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,1,0.2,0.4,2,0,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,0,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,2,1,,
,2,0.8,0.6,1,1,,
,2,0.8,0.6,2,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,2,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,0,,
,3,0.4,0.2,1,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
