"name","game","prob",,"c","r","N",
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,0,,
,4,0.6,0.8,2,1,,
,4,0.6,0.8,2,1,,

"name","game","prob",,"c","r","N",
"16104_1381556624912.csv",1,0.4,0.2,1,0,100,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,2,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,1,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,0,,
,1,0.4,0.2,1,1,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,1,0,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,1,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,2,0.2,0.4,2,0,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,1,1,,
