"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-2896.14843051905,39.5791177011036,284.87564329483,8.37750745671113,5792.2968610381,79.1582354022072
"model2",-319.983624490049,50.9047738600916,-3216.13205500911,32.2117913247253,276.227589508197,9.15990489948229,6432.26411001822,64.4235826494506
"model1",-433.558324401526,49.5814241291495,-3329.70675492058,30.1043787151752,183.417622382974,5.34403779348693,6659.41350984117,60.2087574303505
